"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Endothelial Cell","Fibroblast","TGFB1","TGFbR1_R2",0.000497417467114774,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","Fibroblast","TGFB1","TGFbR1_R2",9.78997472998295e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Macrophage","Fibroblast","TGFB1","TGFbR1_R2",0.000589445135796582,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mast Cell","Fibroblast","TGFB1","TGFbR1_R2",0.000777756682172599,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Endothelial Cell","Macrophage","TGFB1","TGFbR1_R2",0.00137475039953302,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","Macrophage","TGFB1","TGFbR1_R2",0.000270542846516123,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Macrophage","Macrophage","TGFB1","TGFbR1_R2",0.00162925958129173,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mast Cell","Macrophage","TGFB1","TGFbR1_R2",0.00215014214798009,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","Fibroblast","TGFB3","TGFbR1_R2",0.000142598945107847,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","Macrophage","TGFB3","TGFbR1_R2",0.000394128598907679,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Endothelial Cell","Fibroblast","TGFB1","ACVR1_TGFbR",0.00159130759937703,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Fibroblast","Fibroblast","TGFB1","ACVR1_TGFbR",0.00119761417353825,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Macrophage","Fibroblast","TGFB1","ACVR1_TGFbR",0.00195025114941295,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Mast Cell","Fibroblast","TGFB1","ACVR1_TGFbR",0.00257349182194325,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Fibroblast","Fibroblast","TGFB3","ACVR1_TGFbR",0.00174453486763582,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Tumor Cell","CAF","BMP7","ACVR1_BMPR2",0.000670759352673996,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Tumor Cell","Ciliated Cell","BMP7","ACVR1_BMPR2",0.000396034905948246,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Tumor Cell","Fibroblast","BMP7","ACVR1_BMPR2",0.00104739198658292,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Tumor Cell","Tumor Cell","BMP7","ACVR1_BMPR2",0.00054094177565285,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Alveolar Epithelial Cell","Alveolar Epithelial Cell","GDF15","TGFBR2",0.00539387270342948,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Alveolar Epithelial Cell","GDF15","TGFBR2",0.00615527790275846,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","CAF","GDF15","TGFBR2",0.00288754549247632,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","CAF","GDF15","TGFBR2",0.00329632724700084,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Endothelial Cell","GDF15","TGFBR2",0.0160592966257744,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Endothelial Cell","GDF15","TGFBR2",0.0182985465257893,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Fibroblast","GDF15","TGFBR2",0.00462227384973357,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Fibroblast","GDF15","TGFBR2",0.0052753369827453,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Macrophage","GDF15","TGFBR2",0.00210990840119069,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Macrophage","GDF15","TGFBR2",0.00240886819877495,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Mast Cell","GDF15","TGFBR2",0.00179246546433865,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Mast Cell","GDF15","TGFBR2",0.00204653798458713,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","Alveolar Epithelial Cell","WNT2","FZD5_LRP6",0.000301357931016024,0,"WNT2_FZD5_LRP6","WNT2 - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Alveolar Epithelial Cell","WNT2","FZD6_LRP6",0.000302444496071429,0,"WNT2_FZD6_LRP6","WNT2 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Tumor Cell","WNT2","FZD6_LRP6",0.000451186667867299,0,"WNT2_FZD6_LRP6","WNT2 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Tumor Cell","WNT2","FZD7_LRP6",0.000235205888119025,0,"WNT2_FZD7_LRP6","WNT2 - (FZD7+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Alveolar Epithelial Cell","WNT2B","FZD5_LRP6",0.000399396899348375,0,"WNT2B_FZD5_LRP6","WNT2B - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Alveolar Epithelial Cell","WNT2B","FZD6_LRP6",0.00040083810011163,0,"WNT2B_FZD6_LRP6","WNT2B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Tumor Cell","WNT2B","FZD6_LRP6",0.000598154296358926,0,"WNT2B_FZD6_LRP6","WNT2B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Tumor Cell","WNT2B","FZD7_LRP6",0.000311655756370745,0,"WNT2B_FZD7_LRP6","WNT2B - (FZD7+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Alveolar Epithelial Cell","WNT7B","FZD5_LRP6",0.000938157478708484,0,"WNT7B_FZD5_LRP6","WNT7B - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Alveolar Epithelial Cell","WNT7B","FZD6_LRP6",0.00094154062862791,0,"WNT7B_FZD6_LRP6","WNT7B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Tumor Cell","WNT7B","FZD6_LRP6",0.00140468043775217,0,"WNT7B_FZD6_LRP6","WNT7B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Tumor Cell","WNT7B","FZD7_LRP6",0.0007321860598855,0,"WNT7B_FZD7_LRP6","WNT7B - (FZD7+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Fibroblast","WNT5A","FZD1",0.0226325113346591,0,"WNT5A_FZD1","WNT5A - FZD1","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Fibroblast","WNT5A","FZD1",0.00346209165635819,0,"WNT5A_FZD1","WNT5A - FZD1","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Fibroblast","WNT5A","FZD2",0.00421479762356069,0,"WNT5A_FZD2","WNT5A - FZD2","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Fibroblast","WNT5A","FZD2",0.000634607562975214,0,"WNT5A_FZD2","WNT5A - FZD2","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Ciliated Cell","WNT5A","FZD3",0.00546408802782508,0,"WNT5A_FZD3","WNT5A - FZD3","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Ciliated Cell","WNT5A","FZD3",0.00082358659707864,0,"WNT5A_FZD3","WNT5A - FZD3","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Endothelial Cell","WNT5A","FZD4",0.0109467194022117,0,"WNT5A_FZD4","WNT5A - FZD4","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Endothelial Cell","WNT5A","FZD4",0.00165772939061465,0,"WNT5A_FZD4","WNT5A - FZD4","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Alveolar Epithelial Cell","WNT5A","FZD5",0.00592755027507442,0,"WNT5A_FZD5","WNT5A - FZD5","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Alveolar Epithelial Cell","WNT5A","FZD5",0.000893796692604935,0,"WNT5A_FZD5","WNT5A - FZD5","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Alveolar Epithelial Cell","WNT5A","FZD6",0.00597017002615044,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Alveolar Epithelial Cell","WNT5A","FZD6",0.00090025596851933,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Ciliated Cell","WNT5A","FZD6",0.0155882377636307,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Ciliated Cell","WNT5A","FZD6",0.00237006130733337,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Endothelial Cell","WNT5A","FZD6",0.00771433179640863,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Endothelial Cell","WNT5A","FZD6",0.00116499812781257,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Tumor Cell","WNT5A","FZD6",0.0166064968805631,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Tumor Cell","Tumor Cell","WNT5A","FZD6",0.00252709564912943,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Fibroblast","Tumor Cell","WNT5A","FZD7",0.00456057425251307,0,"WNT5A_FZD7","WNT5A - FZD7","ncWNT","Secreted Signaling","KEGG: hsa04310"
