"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CAF","Fibroblast","TGFB1","TGFbR1_R2",0.000360152271536993,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Endothelial Cell","Fibroblast","TGFB1","TGFbR1_R2",0.00067351382961084,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Macrophage","Fibroblast","TGFB1","TGFbR1_R2",0.000624107994224188,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mast Cell","Fibroblast","TGFB1","TGFbR1_R2",0.000737120345351428,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Tumor Cell","Fibroblast","TGFB1","TGFbR1_R2",0.0005439603599043,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CAF","Macrophage","TGFB1","TGFbR1_R2",0.00131594494003995,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Endothelial Cell","Macrophage","TGFB1","TGFbR1_R2",0.00246104818590028,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Macrophage","Macrophage","TGFB1","TGFbR1_R2",0.00228051128076909,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mast Cell","Macrophage","TGFB1","TGFbR1_R2",0.00269372336012091,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Tumor Cell","Macrophage","TGFB1","TGFbR1_R2",0.00198757177303365,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CAF","Fibroblast","TGFB3","TGFbR1_R2",0.000323087872536533,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","Fibroblast","TGFB3","TGFbR1_R2",0.000105407042833842,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CAF","Macrophage","TGFB3","TGFbR1_R2",0.00118047154839434,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","Macrophage","TGFB3","TGFbR1_R2",0.000385118696611966,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CAF","Alveolar Epithelial Cell","TGFB1","ACVR1B_TGFbR2",0.000681884002999839,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Endothelial Cell","Alveolar Epithelial Cell","TGFB1","ACVR1B_TGFbR2",0.0012754016435158,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Macrophage","Alveolar Epithelial Cell","TGFB1","ACVR1B_TGFbR2",0.00118183359793268,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Mast Cell","Alveolar Epithelial Cell","TGFB1","ACVR1B_TGFbR2",0.00139630551044855,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Tumor Cell","Alveolar Epithelial Cell","TGFB1","ACVR1B_TGFbR2",0.00102992461046754,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"CAF","Alveolar Epithelial Cell","TGFB3","ACVR1B_TGFbR2",0.000611628000825565,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Fibroblast","Alveolar Epithelial Cell","TGFB3","ACVR1B_TGFbR2",0.000199527228593769,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"CAF","Fibroblast","TGFB1","ACVR1_TGFbR",0.00186517728047136,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Endothelial Cell","Fibroblast","TGFB1","ACVR1_TGFbR",0.00211870387739704,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Macrophage","Fibroblast","TGFB1","ACVR1_TGFbR",0.00210582049594294,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Mast Cell","Fibroblast","TGFB1","ACVR1_TGFbR",0.00259032266013069,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Tumor Cell","Fibroblast","TGFB1","ACVR1_TGFbR",0.00191127909487565,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"CAF","Fibroblast","TGFB3","ACVR1_TGFbR",0.00167316218415006,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Fibroblast","Fibroblast","TGFB3","ACVR1_TGFbR",0.00155935489465489,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Tumor Cell","CAF","BMP7","ACVR1_BMPR2",0.000559143557034004,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Tumor Cell","Fibroblast","BMP7","ACVR1_BMPR2",0.000857532057333232,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Tumor Cell","Tumor Cell","BMP7","ACVR1_BMPR2",0.00040497519718611,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Tumor Cell","Ciliated Cell","BMP7","BMPR1A_BMPR2",0.000666982447462476,0,"BMP7_BMPR1A_BMPR2","BMP7 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Alveolar Epithelial Cell","Alveolar Epithelial Cell","GDF15","TGFBR2",0.00205835802832036,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","CAF","GDF15","TGFBR2",0.00199956527104896,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Endothelial Cell","GDF15","TGFBR2",0.0173405378210393,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Fibroblast","GDF15","TGFBR2",0.00567644111858253,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Macrophage","GDF15","TGFBR2",0.00412949494987657,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Mast Cell","GDF15","TGFBR2",0.00206927112907587,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","Alveolar Epithelial Cell","WNT2","FZD5_LRP5",0.000106745155913093,0,"WNT2_FZD5_LRP5","WNT2 - (FZD5+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Alveolar Epithelial Cell","WNT2","FZD6_LRP5",0.00011848705650761,0,"WNT2_FZD6_LRP5","WNT2 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Alveolar Epithelial Cell","WNT2B","FZD5_LRP5",0.000428260492636511,0,"WNT2B_FZD5_LRP5","WNT2B - (FZD5+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Alveolar Epithelial Cell","WNT2B","FZD6_LRP5",0.000475365209784002,0,"WNT2B_FZD6_LRP5","WNT2B - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Alveolar Epithelial Cell","WNT7B","FZD5_LRP5",0.000195351570001042,0,"WNT7B_FZD5_LRP5","WNT7B - (FZD5+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Alveolar Epithelial Cell","WNT7B","FZD6_LRP5",0.000216845104464858,0,"WNT7B_FZD6_LRP5","WNT7B - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Ciliated Cell","WNT2","FZD3_LRP6",0.000600624468627037,0,"WNT2_FZD3_LRP6","WNT2 - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Endothelial Cell","WNT2","FZD4_LRP6",0.000453005414873136,0,"WNT2_FZD4_LRP6","WNT2 - (FZD4+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Alveolar Epithelial Cell","WNT2","FZD5_LRP6",0.000281202495458909,0,"WNT2_FZD5_LRP6","WNT2 - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Alveolar Epithelial Cell","WNT2","FZD6_LRP6",0.000312108662107158,0,"WNT2_FZD6_LRP6","WNT2 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Ciliated Cell","WNT2","FZD6_LRP6",0.000411569142780217,0,"WNT2_FZD6_LRP6","WNT2 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Endothelial Cell","WNT2","FZD6_LRP6",0.000257220075082682,0,"WNT2_FZD6_LRP6","WNT2 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Fibroblast","Ciliated Cell","WNT2","FZD7_LRP6",0.000204081779160811,0,"WNT2_FZD7_LRP6","WNT2 - (FZD7+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Ciliated Cell","WNT2B","FZD3_LRP6",0.0024090190709755,0,"WNT2B_FZD3_LRP6","WNT2B - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Endothelial Cell","WNT2B","FZD4_LRP6",0.00181684851947236,0,"WNT2B_FZD4_LRP6","WNT2B - (FZD4+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Alveolar Epithelial Cell","WNT2B","FZD5_LRP6",0.00112805218934186,0,"WNT2B_FZD5_LRP6","WNT2B - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Alveolar Epithelial Cell","WNT2B","FZD6_LRP6",0.0012520077584466,0,"WNT2B_FZD6_LRP6","WNT2B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Ciliated Cell","WNT2B","FZD6_LRP6",0.00165092828663695,0,"WNT2B_FZD6_LRP6","WNT2B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Endothelial Cell","WNT2B","FZD6_LRP6",0.00103180067717179,0,"WNT2B_FZD6_LRP6","WNT2B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated Cell","Ciliated Cell","WNT2B","FZD7_LRP6",0.000818733429432264,0,"WNT2B_FZD7_LRP6","WNT2B - (FZD7+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Ciliated Cell","WNT7B","FZD3_LRP6",0.0011001121673564,0,"WNT7B_FZD3_LRP6","WNT7B - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Endothelial Cell","WNT7B","FZD4_LRP6",0.000829855709092879,0,"WNT7B_FZD4_LRP6","WNT7B - (FZD4+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Alveolar Epithelial Cell","WNT7B","FZD5_LRP6",0.000514797252612891,0,"WNT7B_FZD5_LRP6","WNT7B - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Tumor Cell","Alveolar Epithelial Cell","WNT7B","FZD6_LRP6",0.000571411732366614,0,"WNT7B_FZD6_LRP6","WNT7B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
