"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Endothelial Cell","Macrophage","TGFB1","TGFbR1_R2",0.00078902350839236,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Macrophage","Macrophage","TGFB1","TGFbR1_R2",0.000914126107707253,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mast Cell","Macrophage","TGFB1","TGFbR1_R2",0.00122959277344074,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"T_NK Cell","Macrophage","TGFB1","TGFbR1_R2",0.00414642032802009,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Tumor Cell","Macrophage","TGFB1","TGFbR1_R2",0.00294460279989689,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CAF","Macrophage","TGFB3","TGFbR1_R2",0.000191386691851493,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Ciliated Cell","BMP2","BMPR1B_BMPR2",0.00165989550475594,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Alveolar Epithelial Cell","Alveolar Epithelial Cell","GDF15","TGFBR2",0.00312290551371596,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Alveolar Epithelial Cell","GDF15","TGFBR2",0.00965279593315863,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","CAF","GDF15","TGFBR2",0.00339785614269415,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","CAF","GDF15","TGFBR2",0.0104966055473747,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Endothelial Cell","GDF15","TGFBR2",0.00580803068983969,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Endothelial Cell","GDF15","TGFBR2",0.0178518840573404,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Macrophage","GDF15","TGFBR2",0.000841757472961226,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Macrophage","GDF15","TGFBR2",0.00261435306003881,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Tumor Cell","GDF15","TGFBR2",0.000440201053683728,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated Cell","Tumor Cell","GDF15","TGFBR2",0.00136834636377163,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Alveolar Epithelial Cell","Alveolar Epithelial Cell","AREG","EGFR",0.00645573850995901,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Ciliated Cell","Alveolar Epithelial Cell","AREG","EGFR",0.00134950071497573,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Macrophage","Alveolar Epithelial Cell","AREG","EGFR",0.00283004519465709,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Mast Cell","Alveolar Epithelial Cell","AREG","EGFR",0.0104279322165403,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"T_NK Cell","Alveolar Epithelial Cell","AREG","EGFR",0.00799004037009386,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Tumor Cell","Alveolar Epithelial Cell","AREG","EGFR",0.00375275471025143,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Alveolar Epithelial Cell","CAF","AREG","EGFR",0.00728887668149895,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Ciliated Cell","CAF","AREG","EGFR",0.00152467028804281,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Macrophage","CAF","AREG","EGFR",0.00319677906126911,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Mast Cell","CAF","AREG","EGFR",0.0117676258402065,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"T_NK Cell","CAF","AREG","EGFR",0.0090193886540821,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Tumor Cell","CAF","AREG","EGFR",0.00423855044920994,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Alveolar Epithelial Cell","Ciliated Cell","AREG","EGFR",0.0028391976171328,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Ciliated Cell","Ciliated Cell","AREG","EGFR",0.000591798985335468,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Macrophage","Ciliated Cell","AREG","EGFR",0.00124209875487472,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Mast Cell","Ciliated Cell","AREG","EGFR",0.00459644081556694,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"T_NK Cell","Ciliated Cell","AREG","EGFR",0.00351701758165815,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Tumor Cell","Ciliated Cell","AREG","EGFR",0.00164792893833231,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Alveolar Epithelial Cell","Alveolar Epithelial Cell","AREG","EGFR_ERBB2",0.00548689516330784,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Ciliated Cell","Alveolar Epithelial Cell","AREG","EGFR_ERBB2",0.00114609075581276,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Macrophage","Alveolar Epithelial Cell","AREG","EGFR_ERBB2",0.00240401028630474,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Mast Cell","Alveolar Epithelial Cell","AREG","EGFR_ERBB2",0.0088682838553051,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"T_NK Cell","Alveolar Epithelial Cell","AREG","EGFR_ERBB2",0.00679251126057313,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Tumor Cell","Alveolar Epithelial Cell","AREG","EGFR_ERBB2",0.0031882592634268,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Alveolar Epithelial Cell","Ciliated Cell","AREG","EGFR_ERBB2",0.00364210168665132,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Ciliated Cell","Ciliated Cell","AREG","EGFR_ERBB2",0.000759639519490002,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Macrophage","Ciliated Cell","AREG","EGFR_ERBB2",0.00159407709960521,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Mast Cell","Ciliated Cell","AREG","EGFR_ERBB2",0.00589334330464412,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"T_NK Cell","Ciliated Cell","AREG","EGFR_ERBB2",0.00451073702866291,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Tumor Cell","Ciliated Cell","AREG","EGFR_ERBB2",0.00211466546465804,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Alveolar Epithelial Cell","Alveolar Epithelial Cell","HBEGF","EGFR",0.00128932831646199,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Endothelial Cell","Alveolar Epithelial Cell","HBEGF","EGFR",0.00146577439387758,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
